,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
25122,Sydney (2000),2000,Weightlifting,Weightlifting,Galabin Boevski,BUL,Men,69kg men,Gold,1,0,0
25123,Sydney (2000),2000,Weightlifting,Weightlifting,Georgi Markov,BUL,Men,69kg men,Silver,0,1,0
25124,Sydney (2000),2000,Weightlifting,Weightlifting,Karnam Malleswari,IND,Women,69kg women,Bronze,0,0,1
25125,Sydney (2000),2000,Weightlifting,Weightlifting,Weining Lin,CHN,Women,69kg women,Gold,1,0,0
25126,Sydney (2000),2000,Weightlifting,Weightlifting,Erzsebet Peresztegine markus,HUN,Women,69kg women,Silver,0,1,0
25127,Sydney (2000),2000,Weightlifting,Weightlifting,Yi-Hang Kuo,TPE,Women,75kg women,Bronze,0,0,1
25128,Sydney (2000),2000,Weightlifting,Weightlifting,Maria Isabel Urrutia,COL,Women,75kg women,Gold,1,0,0
25129,Sydney (2000),2000,Weightlifting,Weightlifting,Ruth Ogbeifo,NGR,Women,75kg women,Silver,0,1,0
25130,Sydney (2000),2000,Weightlifting,Weightlifting,Arsen Melikyan,ARM,Men,77kg men,Bronze,0,0,1
25131,Sydney (2000),2000,Weightlifting,Weightlifting,Xugang Zhan,CHN,Men,77kg men,Gold,1,0,0
25132,Sydney (2000),2000,Weightlifting,Weightlifting,Viktor Mitrou,GRE,Men,77kg men,Silver,0,1,0
25133,Sydney (2000),2000,Weightlifting,Weightlifting,George Asanidze,GEO,Men,85kg men,Bronze,0,0,1
25134,Sydney (2000),2000,Weightlifting,Weightlifting,Pyrros Dimas,GRE,Men,85kg men,Gold,1,0,0
25135,Sydney (2000),2000,Weightlifting,Weightlifting,Marc Huster,GER,Men,85kg men,Silver,0,1,0
25136,Sydney (2000),2000,Weightlifting,Weightlifting,Aleksey Petrov,RUS,Men,94kg men,Bronze,0,0,1
25137,Sydney (2000),2000,Weightlifting,Weightlifting,Akakios Kakiasvilis,GRE,Men,94kg men,Gold,1,0,0
25138,Sydney (2000),2000,Weightlifting,Weightlifting,Szymon Kolecki,POL,Men,94kg men,Silver,0,1,0
25139,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Amiran Karntanov,GRE,Men,48 - 54kg men,Bronze,0,0,1
25140,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Namig Abdullayev,AZE,Men,48 - 54kg men,Gold,1,0,0
25141,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Samuel Henson,USA,Men,48 - 54kg men,Silver,0,1,0
25142,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Terry Brands,USA,Men,54 - 58kg men,Bronze,0,0,1
25143,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Alireza Dabir,IRI,Men,54 - 58kg men,Gold,1,0,0
25144,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Yevgen Buslovych,UKR,Men,54 - 58kg men,Silver,0,1,0
25145,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Jae-Sung Jang,KOR,Men,58 - 63kg men,Bronze,0,0,1
25146,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Mourad Oumakhanov,RUS,Men,58 - 63kg men,Gold,1,0,0
25147,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Serafim Barzakov,BUL,Men,58 - 63kg men,Silver,0,1,0
25148,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Lincoln Mcilravy,USA,Men,63 - 69kg men,Bronze,0,0,1
25149,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Daniel Igali,CAN,Men,63 - 69kg men,Gold,1,0,0
25150,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Arsen Gitinov,RUS,Men,63 - 69kg men,Silver,0,1,0
25151,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Adem Bereket,TUR,Men,69 - 76kg men,Bronze,0,0,1
25152,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Brandon Slay,USA,Men,69 - 76kg men,Gold,1,0,0
25153,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Eui Jae Moon,KOR,Men,69 - 76kg men,Silver,0,1,0
25154,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Mogamed Ibragimov,MKD,Men,76 - 85kg men,Bronze,0,0,1
25155,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Adam Saitiev,RUS,Men,76 - 85kg men,Gold,1,0,0
25156,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Yoel Romero,CUB,Men,76 - 85kg men,Silver,0,1,0
25157,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Eldari Kurtanidze,GEO,Men,85 - 97kg men,Bronze,0,0,1
25158,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Saghid Mourtasaliyev,RUS,Men,85 - 97kg men,Gold,1,0,0
25159,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Islam Bairamukov,KAZ,Men,85 - 97kg men,Silver,0,1,0
25160,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Alexis Rodriguez,CUB,Men,97 - 130kg men,Bronze,0,0,1
25161,Sydney (2000),2000,Wrestling,Wrestling Freestyle,David Moussoulbes,RUS,Men,97 - 130kg men,Gold,1,0,0
25162,Sydney (2000),2000,Wrestling,Wrestling Freestyle,Artur Taymazov,UZB,Men,97 - 130kg men,Silver,0,1,0
25163,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Yong Gyun Kang,PRK,Men,48 - 54kg men,Bronze,0,0,1
25164,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Kwon-Ho Sim,KOR,Men,48 - 54kg men,Gold,1,0,0
25165,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Lazaro Rivas,CUB,Men,48 - 54kg men,Silver,0,1,0
25166,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Zetian Sheng,CHN,Men,54 - 58kg men,Bronze,0,0,1
25167,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Armen Nazarian,BUL,Men,54 - 58kg men,Gold,1,0,0
25168,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,In-Sub Kim,KOR,Men,54 - 58kg men,Silver,0,1,0
25169,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Akaki Chachua,GEO,Men,58 - 63kg men,Bronze,0,0,1
25170,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Varteres Samurgashev,RUS,Men,58 - 63kg men,Gold,1,0,0
25171,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Juan Luis Maren,CUB,Men,58 - 63kg men,Silver,0,1,0
25172,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Alexei Glouchkov,RUS,Men,63 - 69kg men,Bronze,0,0,1
25173,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Feliberto Ascuy aguilera,CUB,Men,63 - 69kg men,Gold,1,0,0
25174,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Katsuhiko Nagata,JPN,Men,63 - 69kg men,Silver,0,1,0
25175,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Marko Yli-hannuksela,FIN,Men,69 - 76kg men,Bronze,0,0,1
25176,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Mourat Kardanov,RUS,Men,69 - 76kg men,Gold,1,0,0
25177,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Matt James Lindland,USA,Men,69 - 76kg men,Silver,0,1,0
25178,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Mukhran Vakhtangadze,GEO,Men,76 - 85kg men,Bronze,0,0,1
25179,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Hamza Yerlikaya,TUR,Men,76 - 85kg men,Gold,1,0,0
25180,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Sandor Istvan Bardosi,HUN,Men,76 - 85kg men,Silver,0,1,0
25181,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Steven Lowney,USA,Men,85 - 97kg men,Bronze,0,0,1
25182,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Mikael Ljungberg,SWE,Men,85 - 97kg men,Gold,1,0,0
25183,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Davyd Saldadze,UKR,Men,85 - 97kg men,Silver,0,1,0
25184,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Dmitry Debelka,BLR,Men,97 - 130kg men,Bronze,0,0,1
25185,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Rulon Gardner,USA,Men,97 - 130kg men,Gold,1,0,0
25186,Sydney (2000),2000,Wrestling,Wrestling Greco-Romano,Aleksandr Karelin,RUS,Men,97 - 130kg men,Silver,0,1,0
25187,Athens (2004),2004,Aquatics,Diving,Liang Tian,CHN,Men,10m platform men,Bronze,0,0,1
25188,Athens (2004),2004,Aquatics,Diving,Jia Hu,CHN,Men,10m platform men,Gold,1,0,0
25189,Athens (2004),2004,Aquatics,Diving,Mathew Helm,AUS,Men,10m platform men,Silver,0,1,0
25190,Athens (2004),2004,Aquatics,Diving,Loudy Tourky,AUS,Women,10m platform women,Bronze,0,0,1
25191,Athens (2004),2004,Aquatics,Diving,Chantelle Newbery,AUS,Women,10m platform women,Gold,1,0,0
25192,Athens (2004),2004,Aquatics,Diving,Lishi Lao,CHN,Women,10m platform women,Silver,0,1,0
25193,Athens (2004),2004,Aquatics,Diving,Dmitry Sautin,RUS,Men,3m springboard men,Bronze,0,0,1
25194,Athens (2004),2004,Aquatics,Diving,Bo Peng,CHN,Men,3m springboard men,Gold,1,0,0
25195,Athens (2004),2004,Aquatics,Diving,Alexandre Despatie,CAN,Men,3m springboard men,Silver,0,1,0
25196,Athens (2004),2004,Aquatics,Diving,Ioulia Pakhalina,RUS,Women,3m springboard women,Bronze,0,0,1
25197,Athens (2004),2004,Aquatics,Diving,Jingjing Guo,CHN,Women,3m springboard women,Gold,1,0,0
25198,Athens (2004),2004,Aquatics,Diving,Minxia Wu,CHN,Women,3m springboard women,Silver,0,1,0
25199,Athens (2004),2004,Aquatics,Diving,Mathew Helm,AUS,Men,synchronized diving 10m platform men,Bronze,0,0,1
25200,Athens (2004),2004,Aquatics,Diving,Robert Newbery,AUS,Men,synchronized diving 10m platform men,Bronze,0,0,1
25201,Athens (2004),2004,Aquatics,Diving,Liang Tian,CHN,Men,synchronized diving 10m platform men,Gold,1,0,0
25202,Athens (2004),2004,Aquatics,Diving,Jinghui Yang,CHN,Men,synchronized diving 10m platform men,Gold,1,0,0
25203,Athens (2004),2004,Aquatics,Diving,Leon Taylor,GBR,Men,synchronized diving 10m platform men,Silver,0,1,0
25204,Athens (2004),2004,Aquatics,Diving,Peter Waterfield,GBR,Men,synchronized diving 10m platform men,Silver,0,1,0
25205,Athens (2004),2004,Aquatics,Diving,Blythe Hartley,CAN,Women,synchronized diving 10m platform women,Bronze,0,0,1
25206,Athens (2004),2004,Aquatics,Diving,Emilie Heymans,CAN,Women,synchronized diving 10m platform women,Bronze,0,0,1
25207,Athens (2004),2004,Aquatics,Diving,Lishi Lao,CHN,Women,synchronized diving 10m platform women,Gold,1,0,0
25208,Athens (2004),2004,Aquatics,Diving,Ting Li,CHN,Women,synchronized diving 10m platform women,Gold,1,0,0
25209,Athens (2004),2004,Aquatics,Diving,Natalia Goncharova,RUS,Women,synchronized diving 10m platform women,Silver,0,1,0
25210,Athens (2004),2004,Aquatics,Diving,Yulia Koltunova,RUS,Women,synchronized diving 10m platform women,Silver,0,1,0
25211,Athens (2004),2004,Aquatics,Diving,Steven Barnett,AUS,Men,synchronized diving 3m springboard men,Bronze,0,0,1
25212,Athens (2004),2004,Aquatics,Diving,Robert Newbery,AUS,Men,synchronized diving 3m springboard men,Bronze,0,0,1
25213,Athens (2004),2004,Aquatics,Diving,Thomas Bimis,GRE,Men,synchronized diving 3m springboard men,Gold,1,0,0
25214,Athens (2004),2004,Aquatics,Diving,Nikolaos Siranidis,GRE,Men,synchronized diving 3m springboard men,Gold,1,0,0
25215,Athens (2004),2004,Aquatics,Diving,Tobias Schellenberg,GER,Men,synchronized diving 3m springboard men,Silver,0,1,0
25216,Athens (2004),2004,Aquatics,Diving,Andreas Wels,GER,Men,synchronized diving 3m springboard men,Silver,0,1,0
25217,Athens (2004),2004,Aquatics,Diving,Irina Lashko,AUS,Women,synchronized diving 3m springboard women,Bronze,0,0,1
25218,Athens (2004),2004,Aquatics,Diving,Chantelle Newbery,AUS,Women,synchronized diving 3m springboard women,Bronze,0,0,1
25219,Athens (2004),2004,Aquatics,Diving,Jingjing Guo,CHN,Women,synchronized diving 3m springboard women,Gold,1,0,0
25220,Athens (2004),2004,Aquatics,Diving,Minxia Wu,CHN,Women,synchronized diving 3m springboard women,Gold,1,0,0
25221,Athens (2004),2004,Aquatics,Diving,Vera Ilyina,RUS,Women,synchronized diving 3m springboard women,Silver,0,1,0
25222,Athens (2004),2004,Aquatics,Diving,Ioulia Pakhalina,RUS,Women,synchronized diving 3m springboard women,Silver,0,1,0
25223,Athens (2004),2004,Aquatics,Swimming,Tomomi Morita,JPN,Men,100m backstroke men,Bronze,0,0,1
25224,Athens (2004),2004,Aquatics,Swimming,Aaron Peirsol,USA,Men,100m backstroke men,Gold,1,0,0
25225,Athens (2004),2004,Aquatics,Swimming,Markus Rogan,AUT,Men,100m backstroke men,Silver,0,1,0
25226,Athens (2004),2004,Aquatics,Swimming,Laure Manaudou,FRA,Women,100m backstroke women,Bronze,0,0,1
25227,Athens (2004),2004,Aquatics,Swimming,Natalie Coughlin,USA,Women,100m backstroke women,Gold,1,0,0
25228,Athens (2004),2004,Aquatics,Swimming,Kirsty Coventry,ZIM,Women,100m backstroke women,Silver,0,1,0
25229,Athens (2004),2004,Aquatics,Swimming,Hugues Duboscq,FRA,Men,100m breaststroke men,Bronze,0,0,1
25230,Athens (2004),2004,Aquatics,Swimming,Kosuke Kitajima,JPN,Men,100m breaststroke men,Gold,1,0,0
25231,Athens (2004),2004,Aquatics,Swimming,Brendan Hansen,USA,Men,100m breaststroke men,Silver,0,1,0
25232,Athens (2004),2004,Aquatics,Swimming,Leisel Jones,AUS,Women,100m breaststroke women,Bronze,0,0,1
25233,Athens (2004),2004,Aquatics,Swimming,Xuejuan Luo,CHN,Women,100m breaststroke women,Gold,1,0,0
25234,Athens (2004),2004,Aquatics,Swimming,Brooke Hanson,AUS,Women,100m breaststroke women,Silver,0,1,0
25235,Athens (2004),2004,Aquatics,Swimming,Andriy Serdinov,UKR,Men,100m butterfly men,Bronze,0,0,1
25236,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,100m butterfly men,Gold,1,0,0
25237,Athens (2004),2004,Aquatics,Swimming,Ian Crocker,USA,Men,100m butterfly men,Silver,0,1,0
25238,Athens (2004),2004,Aquatics,Swimming,Inge De bruijn,NED,Women,100m butterfly women,Bronze,0,0,1
25239,Athens (2004),2004,Aquatics,Swimming,Petria Thomas,AUS,Women,100m butterfly women,Gold,1,0,0
25240,Athens (2004),2004,Aquatics,Swimming,Otylia Jedrzejczak,POL,Women,100m butterfly women,Silver,0,1,0
25241,Athens (2004),2004,Aquatics,Swimming,Ian Thorpe,AUS,Men,100m freestyle men,Bronze,0,0,1
25242,Athens (2004),2004,Aquatics,Swimming,Pieter Van den hoogenband,NED,Men,100m freestyle men,Gold,1,0,0
25243,Athens (2004),2004,Aquatics,Swimming,Roland Schoeman,RSA,Men,100m freestyle men,Silver,0,1,0
25244,Athens (2004),2004,Aquatics,Swimming,Natalie Coughlin,USA,Women,100m freestyle women,Bronze,0,0,1
25245,Athens (2004),2004,Aquatics,Swimming,Jodie Henry,AUS,Women,100m freestyle women,Gold,1,0,0
25246,Athens (2004),2004,Aquatics,Swimming,Inge De bruijn,NED,Women,100m freestyle women,Silver,0,1,0
25247,Athens (2004),2004,Aquatics,Swimming,David Davies,GBR,Men,1500m freestyle men,Bronze,0,0,1
25248,Athens (2004),2004,Aquatics,Swimming,Grant Hackett,AUS,Men,1500m freestyle men,Gold,1,0,0
25249,Athens (2004),2004,Aquatics,Swimming,Larsen Jensen,USA,Men,1500m freestyle men,Silver,0,1,0
25250,Athens (2004),2004,Aquatics,Swimming,Razvan Ionut Florea,ROU,Men,200m backstroke men,Bronze,0,0,1
25251,Athens (2004),2004,Aquatics,Swimming,Aaron Peirsol,USA,Men,200m backstroke men,Gold,1,0,0
25252,Athens (2004),2004,Aquatics,Swimming,Markus Rogan,AUT,Men,200m backstroke men,Silver,0,1,0
25253,Athens (2004),2004,Aquatics,Swimming,Antje Buschschulte,GER,Women,200m backstroke women,Bronze,0,0,1
25254,Athens (2004),2004,Aquatics,Swimming,Reiko Nakamura,JPN,Women,200m backstroke women,Bronze,0,0,1
25255,Athens (2004),2004,Aquatics,Swimming,Kirsty Coventry,ZIM,Women,200m backstroke women,Gold,1,0,0
25256,Athens (2004),2004,Aquatics,Swimming,Stanislava Komarova,RUS,Women,200m backstroke women,Silver,0,1,0
25257,Athens (2004),2004,Aquatics,Swimming,Brendan Hansen,USA,Men,200m breaststroke men,Bronze,0,0,1
25258,Athens (2004),2004,Aquatics,Swimming,Kosuke Kitajima,JPN,Men,200m breaststroke men,Gold,1,0,0
25259,Athens (2004),2004,Aquatics,Swimming,Daniel Gyurta,HUN,Men,200m breaststroke men,Silver,0,1,0
25260,Athens (2004),2004,Aquatics,Swimming,Anne Poleska,GER,Women,200m breaststroke women,Bronze,0,0,1
25261,Athens (2004),2004,Aquatics,Swimming,Amanda Beard,USA,Women,200m breaststroke women,Gold,1,0,0
25262,Athens (2004),2004,Aquatics,Swimming,Leisel Jones,AUS,Women,200m breaststroke women,Silver,0,1,0
25263,Athens (2004),2004,Aquatics,Swimming,Stephen Parry,GBR,Men,200m butterfly men,Bronze,0,0,1
25264,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,200m butterfly men,Gold,1,0,0
25265,Athens (2004),2004,Aquatics,Swimming,Takashi Yamamoto,JPN,Men,200m butterfly men,Silver,0,1,0
25266,Athens (2004),2004,Aquatics,Swimming,Yuko Nakanishi,JPN,Women,200m butterfly women,Bronze,0,0,1
25267,Athens (2004),2004,Aquatics,Swimming,Otylia Jedrzejczak,POL,Women,200m butterfly women,Gold,1,0,0
25268,Athens (2004),2004,Aquatics,Swimming,Petria Thomas,AUS,Women,200m butterfly women,Silver,0,1,0
25269,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,200m freestyle men,Bronze,0,0,1
25270,Athens (2004),2004,Aquatics,Swimming,Ian Thorpe,AUS,Men,200m freestyle men,Gold,1,0,0
25271,Athens (2004),2004,Aquatics,Swimming,Pieter Van den hoogenband,NED,Men,200m freestyle men,Silver,0,1,0
25272,Athens (2004),2004,Aquatics,Swimming,Solenne Figues,FRA,Women,200m freestyle women,Bronze,0,0,1
25273,Athens (2004),2004,Aquatics,Swimming,Camelia Potec,ROU,Women,200m freestyle women,Gold,1,0,0
25274,Athens (2004),2004,Aquatics,Swimming,Federica Pellegrini,ITA,Women,200m freestyle women,Silver,0,1,0
25275,Athens (2004),2004,Aquatics,Swimming,George Bovell,TRI,Men,200m individual medley men,Bronze,0,0,1
25276,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,200m individual medley men,Gold,1,0,0
25277,Athens (2004),2004,Aquatics,Swimming,Ryan Lochte,USA,Men,200m individual medley men,Silver,0,1,0
25278,Athens (2004),2004,Aquatics,Swimming,Kirsty Coventry,ZIM,Women,200m individual medley women,Bronze,0,0,1
25279,Athens (2004),2004,Aquatics,Swimming,Yana Klochkova,UKR,Women,200m individual medley women,Gold,1,0,0
25280,Athens (2004),2004,Aquatics,Swimming,Amanda Beard,USA,Women,200m individual medley women,Silver,0,1,0
25281,Athens (2004),2004,Aquatics,Swimming,Klete Keller,USA,Men,400m freestyle men,Bronze,0,0,1
25282,Athens (2004),2004,Aquatics,Swimming,Ian Thorpe,AUS,Men,400m freestyle men,Gold,1,0,0
25283,Athens (2004),2004,Aquatics,Swimming,Grant Hackett,AUS,Men,400m freestyle men,Silver,0,1,0
25284,Athens (2004),2004,Aquatics,Swimming,Kaitlin Sandeno,USA,Women,400m freestyle women,Bronze,0,0,1
25285,Athens (2004),2004,Aquatics,Swimming,Laure Manaudou,FRA,Women,400m freestyle women,Gold,1,0,0
25286,Athens (2004),2004,Aquatics,Swimming,Otylia Jedrzejczak,POL,Women,400m freestyle women,Silver,0,1,0
25287,Athens (2004),2004,Aquatics,Swimming,Laszlo Cseh,HUN,Men,400m individual medley men,Bronze,0,0,1
25288,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,400m individual medley men,Gold,1,0,0
25289,Athens (2004),2004,Aquatics,Swimming,Erik Vendt,USA,Men,400m individual medley men,Silver,0,1,0
25290,Athens (2004),2004,Aquatics,Swimming,Georgina Bardach,ARG,Women,400m individual medley women,Bronze,0,0,1
25291,Athens (2004),2004,Aquatics,Swimming,Yana Klochkova,UKR,Women,400m individual medley women,Gold,1,0,0
25292,Athens (2004),2004,Aquatics,Swimming,Kaitlin Sandeno,USA,Women,400m individual medley women,Silver,0,1,0
25293,Athens (2004),2004,Aquatics,Swimming,Ian Crocker,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25294,Athens (2004),2004,Aquatics,Swimming,Nate Dusing,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25295,Athens (2004),2004,Aquatics,Swimming,Gary Jr. Hall,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25296,Athens (2004),2004,Aquatics,Swimming,Jason Lezak,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25297,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25298,Athens (2004),2004,Aquatics,Swimming,Neil Walker,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25299,Athens (2004),2004,Aquatics,Swimming,Gabe Woodward,USA,Men,4x100m freestyle relay men,Bronze,0,0,1
25300,Athens (2004),2004,Aquatics,Swimming,Lyndon Ferns,RSA,Men,4x100m freestyle relay men,Gold,1,0,0
25301,Athens (2004),2004,Aquatics,Swimming,Ryk Neethling,RSA,Men,4x100m freestyle relay men,Gold,1,0,0
25302,Athens (2004),2004,Aquatics,Swimming,Roland Schoeman,RSA,Men,4x100m freestyle relay men,Gold,1,0,0
25303,Athens (2004),2004,Aquatics,Swimming,Darian Townsend,RSA,Men,4x100m freestyle relay men,Gold,1,0,0
25304,Athens (2004),2004,Aquatics,Swimming,Johan Kenkhuis,NED,Men,4x100m freestyle relay men,Silver,0,1,0
25305,Athens (2004),2004,Aquatics,Swimming,Pieter Van den hoogenband,NED,Men,4x100m freestyle relay men,Silver,0,1,0
25306,Athens (2004),2004,Aquatics,Swimming,Mark Hermanus Veens,NED,Men,4x100m freestyle relay men,Silver,0,1,0
25307,Athens (2004),2004,Aquatics,Swimming,Mitja Zastrow,NED,Men,4x100m freestyle relay men,Silver,0,1,0
25308,Athens (2004),2004,Aquatics,Swimming,Klaas-Erik Zwering,NED,Men,4x100m freestyle relay men,Silver,0,1,0
25309,Athens (2004),2004,Aquatics,Swimming,Inge De bruijn,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
25310,Athens (2004),2004,Aquatics,Swimming,Inge Dekker,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
25311,Athens (2004),2004,Aquatics,Swimming,Chantal Groot,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
25312,Athens (2004),2004,Aquatics,Swimming,Annabel Kosten,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
25313,Athens (2004),2004,Aquatics,Swimming,Marleen Veldhuis,NED,Women,4x100m freestyle relay women,Bronze,0,0,1
25314,Athens (2004),2004,Aquatics,Swimming,Jodie Henry,AUS,Women,4x100m freestyle relay women,Gold,1,0,0
25315,Athens (2004),2004,Aquatics,Swimming,Alice Mills,AUS,Women,4x100m freestyle relay women,Gold,1,0,0
25316,Athens (2004),2004,Aquatics,Swimming,Sarah Ryan,AUS,Women,4x100m freestyle relay women,Gold,1,0,0
25317,Athens (2004),2004,Aquatics,Swimming,Petria Thomas,AUS,Women,4x100m freestyle relay women,Gold,1,0,0
25318,Athens (2004),2004,Aquatics,Swimming,Lisbeth Trickett,AUS,Women,4x100m freestyle relay women,Gold,1,0,0
25319,Athens (2004),2004,Aquatics,Swimming,Lindsay Benko,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25320,Athens (2004),2004,Aquatics,Swimming,Maritza Correia,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25321,Athens (2004),2004,Aquatics,Swimming,Natalie Coughlin,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25322,Athens (2004),2004,Aquatics,Swimming,Kara Lynn Joyce,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25323,Athens (2004),2004,Aquatics,Swimming,Colleen Lanne,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25324,Athens (2004),2004,Aquatics,Swimming,Jenny Thompson,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25325,Athens (2004),2004,Aquatics,Swimming,Amanda Weir,USA,Women,4x100m freestyle relay women,Silver,0,1,0
25326,Athens (2004),2004,Aquatics,Swimming,Kosuke Kitajima,JPN,Men,4x100m medley relay men,Bronze,0,0,1
25327,Athens (2004),2004,Aquatics,Swimming,Tomomi Morita,JPN,Men,4x100m medley relay men,Bronze,0,0,1
25328,Athens (2004),2004,Aquatics,Swimming,Yoshihiro Okumura,JPN,Men,4x100m medley relay men,Bronze,0,0,1
25329,Athens (2004),2004,Aquatics,Swimming,Takashi Yamamoto,JPN,Men,4x100m medley relay men,Bronze,0,0,1
25330,Athens (2004),2004,Aquatics,Swimming,Ian Crocker,USA,Men,4x100m medley relay men,Gold,1,0,0
25331,Athens (2004),2004,Aquatics,Swimming,Mark Gangloff,USA,Men,4x100m medley relay men,Gold,1,0,0
25332,Athens (2004),2004,Aquatics,Swimming,Brendan Hansen,USA,Men,4x100m medley relay men,Gold,1,0,0
25333,Athens (2004),2004,Aquatics,Swimming,Lenny Krayzelburg,USA,Men,4x100m medley relay men,Gold,1,0,0
25334,Athens (2004),2004,Aquatics,Swimming,Jason Lezak,USA,Men,4x100m medley relay men,Gold,1,0,0
25335,Athens (2004),2004,Aquatics,Swimming,Aaron Peirsol,USA,Men,4x100m medley relay men,Gold,1,0,0
25336,Athens (2004),2004,Aquatics,Swimming,Michael Phelps,USA,Men,4x100m medley relay men,Gold,1,0,0
25337,Athens (2004),2004,Aquatics,Swimming,Neil Walker,USA,Men,4x100m medley relay men,Gold,1,0,0
25338,Athens (2004),2004,Aquatics,Swimming,Lars Conrad,GER,Men,4x100m medley relay men,Silver,0,1,0
25339,Athens (2004),2004,Aquatics,Swimming,Steffen Driesen,GER,Men,4x100m medley relay men,Silver,0,1,0
25340,Athens (2004),2004,Aquatics,Swimming,Jens Kruppa,GER,Men,4x100m medley relay men,Silver,0,1,0
25341,Athens (2004),2004,Aquatics,Swimming,Helge Meeuw,GER,Men,4x100m medley relay men,Silver,0,1,0
25342,Athens (2004),2004,Aquatics,Swimming,Thomas Rupprath,GER,Men,4x100m medley relay men,Silver,0,1,0
25343,Athens (2004),2004,Aquatics,Swimming,Antje Buschschulte,GER,Women,4x100m medley relay women,Bronze,0,0,1
25344,Athens (2004),2004,Aquatics,Swimming,Daniela Gotz,GER,Women,4x100m medley relay women,Bronze,0,0,1
25345,Athens (2004),2004,Aquatics,Swimming,Sarah Poewe,GER,Women,4x100m medley relay women,Bronze,0,0,1
25346,Athens (2004),2004,Aquatics,Swimming,Franziska Van almsick,GER,Women,4x100m medley relay women,Bronze,0,0,1
25347,Athens (2004),2004,Aquatics,Swimming,Brooke Hanson,AUS,Women,4x100m medley relay women,Gold,1,0,0
